artist,id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity
Breathe Carolina,2V4v17hRk3bmybHvf3i56Q,Drive,0.74,0.758,1.0,-6.6160000000000005,0.0,0.0323,0.28,0.0001409999999999,0.0881,0.336,119.98,57
SACHI,6H4Z4Sl0QYihizCTPzhEZm,Sparking My Fire (feat. ROE),0.624,0.758,8.0,-6.039,1.0,0.0413,0.153,1.6100000000000002e-05,0.104,0.413,122.019,47
ANNA,4UjxYMM2290d7KlCKVSOuQ,Forever Ravers - Radio Edit,0.507,0.92,6.0,-8.151,0.0,0.0561,0.00629,0.627,0.6679999999999999,0.225,129.013,56
Loud Luxury,10mj6Sfw7Z92r9QTrloAth,I'm Not Alright - EDX's Dubai Skyline Remix,0.769,0.879,1.0,-4.336,0.0,0.0704,0.0382,1.7800000000000002e-05,0.0848,0.521,124.032,41
Jack Back,4cWafPsRizm6woL5j4HNTD,(It Happens) Sometimes,0.833,0.8859999999999999,11.0,-6.767,1.0,0.0573,0.0004309999999999,0.00451,0.11,0.604,122.025,66
Max Styler,5tuOGRYPjh5lV6M5zbNRNH,Let Me Take You There (feat. Laura White),0.596,0.907,6.0,-5.447,1.0,0.0477,0.0589,3.08e-06,0.295,0.263,123.987,65
Galantis,7Ga9ZSdPAcQXQvd1ObVFpm,Holy Water,0.5870000000000001,0.7340000000000001,9.0,-4.558,1.0,0.0407,0.0653,0.000571,0.3979999999999999,0.401,125.848,70
Adventure Club,3NAGKEkJN7cUTaIYqFnF8l,Crash 2.0,0.66,0.652,8.0,-4.747,1.0,0.0582,0.00259,0.0,0.0673,0.1669999999999999,127.977,60
Gryffin,6hciDCyJDYCsYQp2lH6kdA,Need Your Love (with Noah Kahan),0.5820000000000001,0.757,0.0,-3.965,1.0,0.0399,0.16,0.0,0.187,0.516,104.105,69
Tiësto,6fenHIxXuuzKB55wY4WCHP,God Is A Dancer (with Mabel),0.774,0.747,1.0,-3.908,0.0,0.0819999999999999,0.0241,6.11e-06,0.342,0.833,119.964,84
Sultan + Shepard,4OwKZypvOJY94XUTHCG1DY,We Found Love,0.353,0.917,11.0,-4.926,0.0,0.0456,0.0111,0.7190000000000001,0.331,0.447,125.935,54
Various Artists,3i9OBte7psyvqH1LYiZMoH,dance condition,0.88,0.905,4.0,-4.93,1.0,0.302,0.152,0.00122,0.36,0.0708,123.835,7
VAVO,2ucDRjABZbAeuPdSpxqGTn,Like Nobody,0.698,0.8029999999999999,11.0,-5.749,0.0,0.1889999999999999,0.111,0.00016,0.318,0.746,123.027,59
Knife Party,3xmJo7JydhDml7GAS9YTcN,Death & Desire (feat. Harrison),0.617,0.964,7.0,-3.3960000000000004,0.0,0.04,0.0011,0.488,0.186,0.379,124.99,62
Sam Feldt,6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,0.542,0.903,4.0,-2.419,0.0,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,70
David Guetta,1CshSPWFrIZTXrAXHMc4jG,Stay (Don't Go Away) [feat. Raye] - David Guetta & R3HAB Remix,0.594,0.883,9.0,-4.91,0.0,0.0845,0.039,9.14e-06,0.0902,0.188,127.092,58
Halsey,3Hah1es0TvdRG7HWNx5e3E,Graveyard - Axwell Remix,0.435,0.903,10.0,-5.468999999999999,0.0,0.0535,0.0139,0.26,0.377,0.36,118.971,66
Riton,0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),0.737,0.828,11.0,-4.711,1.0,0.0396,0.0149,0.000583,0.0862,0.517,124.052,85
Throttle,3Z72gCQwlmsY7sKrqQSOl3,Dreamer,0.621,0.67,11.0,-4.625,1.0,0.0303,0.1669999999999999,0.907,0.3389999999999999,0.342,125.057,52
LODATO,1f1Lwfg4cZfv0HcaBbYY1i,Home,0.5539999999999999,0.936,8.0,-3.619,1.0,0.115,0.0363,1.46e-06,0.0839,0.529,125.018,57
Dom Dolla,4KrATQEoEbKAAY7j0kMDBl,San Frandisco,0.78,0.938,9.0,-6.269,0.0,0.0491,0.0446,0.0977,0.091,0.502,125.031,62
Morgan Page,0W3XXRdUeLUEYul1NMCnTo,Fire & Gold,0.607,0.895,7.0,-3.687,1.0,0.0863,0.0544,0.0,0.652,0.352,126.13,59
Calvin Harris,5v98VA4TXznJNrw0XRphIb,I'm Not Alone - 2019 Edit,0.6,0.982,11.0,-3.921,1.0,0.0337,0.00349,0.48,0.124,0.212,127.994,66
Above & Beyond,1dDDVfAfms7M6VLLKmubaJ,See The End,0.497,0.6559999999999999,7.0,-6.716,1.0,0.0374,0.0141,0.0,0.0577,0.0884,127.975,64
Jack Wins,1oxYhEMbizWCKeYJwHzupl,Familiar Strangers (feat. Rothwell),0.564,0.952,1.0,-3.725,0.0,0.0643,0.00202,7.28e-05,0.111,0.365,126.017,61
Sigala,6TnxdnJcZIwCWiCHq5Qds0,Wish You Well (with Sigala),0.67,0.89,5.0,-3.785,0.0,0.0576,0.122,0.0,0.3329999999999999,0.568,124.967,7
Kygo,6oJ6le65B3SEqPwMRNXWjY,Higher Love,0.693,0.6779999999999999,8.0,-7.159,1.0,0.0324,0.0154,6.05e-06,0.1009999999999999,0.4039999999999999,103.952,91
Galantis,4gM5qxcWJSWaqsRmqJWhKn,We Can Get High - GATTÜSO Remix,0.615,0.902,4.0,-5.943,0.0,0.0396,0.0142,0.276,0.149,0.327,125.991,54
